"county","tract","ua","cntyname","uaname","LandSQMI","afact"
"06001","4037.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.078,1
"06001","4038.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.253,1
"06001","4039.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.191,1
"06001","4040.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.143,1
"06001","4041.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.221,1
"06001","4041.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.089,1
"06001","4042.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.054,1
"06001","4043.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.707,1
"06001","4044.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.593,1
"06001","4045.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.428,1
"06001","4045.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.186,1
"06001","4046.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.887,1
"06001","4047.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.466,1
"06001","4048.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.243,1
"06001","4049.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.391,1
"06001","4050.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.313,1
"06001","4051.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.489,1
"06001","4052.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.33,1
"06001","4053.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.088,1
"06001","4053.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.078,1
"06001","4054.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.121,1
"06001","4054.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.11,1
"06001","4055.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.159,1
"06001","4056.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.166,1
"06001","4057.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.211,1
"06001","4058.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.2,1
"06001","4059.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.175,1
"06001","4059.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.188,1
"06001","4060.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.816,1
"06001","4061.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.711,1
"06001","4062.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.158,1
"06001","4062.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.151,1
"06001","4063.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.188,1
"06001","4064.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.188,1
"06001","4065.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.288,1
"06001","4066.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.289,1
"06001","4066.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.16,1
"06001","4067.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.65,1
"06001","4068.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.352,1
"06001","4069.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.337,1
"06001","4070.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.333,1
"06001","4071.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.143,1
"06001","4071.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.255,1
"06001","4072.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.276,1
"06001","4073.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.915,1
"06001","4074.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.197,1
"06001","4075.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.191,1
"06001","4076.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.395,1
"06001","4077.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.355,1
"06001","4078.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.477,1
"06001","4079.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.424,1
"06001","4080.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.739,1
"06001","4081.00"," ","Alameda CA"," ",0.046,0.014
"06001","4081.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",3.343,0.986
"06001","4082.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.348,1
"06001","4083.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.588,1
"06001","4084.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.21,1
"06001","4085.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.321,1
"06001","4086.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.41,1
"06001","4087.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.437,1
"06001","4088.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.465,1
"06001","4089.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.31,1
"06001","4090.00"," ","Alameda CA"," ",0.465,0.073
"06001","4090.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",5.91,0.927
"06001","4091.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.189,1
"06001","4092.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.279,1
"06001","4093.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.416,1
"06001","4094.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.484,1
"06001","4095.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.323,1
"06001","4096.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.289,1
"06001","4097.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.313,1
"06001","4098.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.691,1
"06001","4099.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.737,1
"06001","4100.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.619,1
"06001","4101.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.303,1
"06001","4102.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.226,1
"06001","4103.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.223,1
"06001","4104.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.273,1
"06001","4105.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.28,1
"06001","4201.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.213,1
"06001","4202.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.179,1
"06001","4203.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.503,1
"06001","4204.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.428,1
"06001","4205.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.161,1
"06001","4206.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.305,1
"06001","4211.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.288,1
"06001","4212.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.523,1
"06001","4213.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.427,1
"06001","4214.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.183,1
"06001","4215.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.614,1
"06001","4216.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.514,1
"06001","4217.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.222,1
"06001","4218.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.204,1
"06001","4219.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.331,1
"06001","4220.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.737,1
"06001","4221.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.213,1
"06001","4222.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.261,1
"06001","4223.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.216,1
"06001","4224.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.184,1
"06001","4225.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.178,1
"06001","4226.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.663,1
"06001","4227.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.133,1
"06001","4228.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.158,1
"06001","4229.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.21,1
"06001","4230.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.282,1
"06001","4231.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.289,1
"06001","4232.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.176,1
"06001","4233.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.281,1
"06001","4234.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.292,1
"06001","4235.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.245,1
"06001","4236.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.203,1
"06001","4236.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.156,1
"06001","4237.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.287,1
"06001","4238.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.402,1
"06001","4239.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.153,1
"06001","4239.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.123,1
"06001","4240.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.197,1
"06001","4240.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.127,1
"06001","4251.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.209,1
"06001","4251.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.281,1
"06001","4251.03","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.341,1
"06001","4251.04","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.415,1
"06001","4261.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.155,1
"06001","4262.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.523,1
"06001","4271.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.396,1
"06001","4272.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.513,1
"06001","4273.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.754,1
"06001","4276.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.225,1
"06001","4277.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.386,1
"06001","4278.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.321,1
"06001","4279.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.319,1
"06001","4280.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.203,1
"06001","4281.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.385,1
"06001","4282.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.526,1
"06001","4283.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.817,1
"06001","4283.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.863,1
"06001","4284.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.319,1
"06001","4285.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.243,1
"06001","4286.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.348,1
"06001","4287.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.992,1
"06001","4301.01"," ","Alameda CA"," ",5.899,0.6
"06001","4301.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",3.938,0.4
"06001","4301.02"," ","Alameda CA"," ",28.473,0.961
"06001","4301.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.141,0.039
"06001","4302.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.058,1
"06001","4303.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.145,1
"06001","4304.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.908,1
"06001","4305.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.008,1
"06001","4306.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.873,1
"06001","4307.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.511,1
"06001","4308.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.697,1
"06001","4309.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.423,1
"06001","4310.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.368,1
"06001","4311.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.38,1
"06001","4312.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.78,1
"06001","4321.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.416,1
"06001","4322.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.395,1
"06001","4323.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.401,1
"06001","4324.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.485,1
"06001","4325.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.527,1
"06001","4325.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.317,1
"06001","4326.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.646,1
"06001","4327.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.32,1
"06001","4328.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.414,1
"06001","4330.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.511,1
"06001","4331.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.553,1
"06001","4331.03","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.267,1
"06001","4331.04","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.407,1
"06001","4332.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.226,1
"06001","4333.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.948,1
"06001","4334.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.114,1
"06001","4335.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.477,1
"06001","4336.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.61,1
"06001","4337.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.508,1
"06001","4338.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.618,1
"06001","4339.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.315,1
"06001","4340.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.466,1
"06001","4351.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.65,1
"06001","4351.03"," ","Alameda CA"," ",17.112,0.861
"06001","4351.03","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.769,0.139
"06001","4351.04","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.77,1
"06001","4352.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.875,1
"06001","4353.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.498,1
"06001","4354.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.513,1
"06001","4355.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.391,1
"06001","4356.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.365,1
"06001","4356.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.442,1
"06001","4357.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.512,1
"06001","4358.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.504,1
"06001","4359.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.931,1
"06001","4360.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.508,1
"06001","4361.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.482,1
"06001","4362.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.249,1
"06001","4363.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.707,1
"06001","4364.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.203,1
"06001","4364.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.646,1
"06001","4365.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.739,1
"06001","4366.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.419,1
"06001","4366.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.345,1
"06001","4367.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.308,1
"06001","4368.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.396,1
"06001","4369.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.466,1
"06001","4370.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.615,1
"06001","4371.01"," ","Alameda CA"," ",7.085,0.376
"06001","4371.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",11.778,0.624
"06001","4371.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.336,1
"06001","4372.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.986,1
"06001","4373.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.398,1
"06001","4374.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.332,1
"06001","4375.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.245,1
"06001","4376.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.316,1
"06001","4377.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.187,1
"06001","4377.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.143,1
"06001","4378.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.493,1
"06001","4379.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.26,1
"06001","4380.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.935,1
"06001","4381.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.775,1
"06001","4382.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.382,1
"06001","4382.03","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",2.039,1
"06001","4382.04","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.575,1
"06001","4383.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.331,1
"06001","4384.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.666,1
"06001","4401.00"," ","Alameda CA"," ",9.993,0.933
"06001","4401.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.722,0.067
"06001","4402.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.448,1
"06001","4403.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.652,1
"06001","4403.04","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.378,1
"06001","4403.05","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.359,1
"06001","4403.06","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.26,1
"06001","4403.07","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.543,1
"06001","4403.08","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.712,1
"06001","4403.31","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.718,1
"06001","4403.32","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.952,1
"06001","4403.33","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.97,1
"06001","4403.34","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.395,1
"06001","4403.35","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.774,1
"06001","4403.36","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.441,1
"06001","4411.00"," ","Alameda CA"," ",4.605,0.787
"06001","4411.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.245,0.213
"06001","4412.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.252,1
"06001","4413.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.272,1
"06001","4413.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.77,1
"06001","4414.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.729,1
"06001","4414.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.631,1
"06001","4415.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.014,1
"06001","4415.03"," ","Alameda CA"," ",21.682,0.725
"06001","4415.03","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",8.231,0.275
"06001","4415.21","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.66,1
"06001","4415.22","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.505,1
"06001","4415.23","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.181,1
"06001","4415.24","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.649,1
"06001","4416.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.499,1
"06001","4416.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.65,1
"06001","4417.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.861,1
"06001","4418.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.788,1
"06001","4419.21","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.327,1
"06001","4419.23","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.582,1
"06001","4419.24","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.844,1
"06001","4419.25","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.16,1
"06001","4419.26","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.158,1
"06001","4419.27","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.251,1
"06001","4420.00"," ","Alameda CA"," ",1.946,0.62
"06001","4420.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.193,0.38
"06001","4421.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.705,1
"06001","4422.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",1.625,1
"06001","4423.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.552,1
"06001","4423.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.372,1
"06001","4424.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.611,1
"06001","4425.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.757,1
"06001","4426.01","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.456,1
"06001","4426.02","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.509,1
"06001","4427.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.476,1
"06001","4428.00","78904","Alameda CA","San Francisco--Oakland, CA Urbanized Area",0.494,1
